parc_name,parcel_name,zALFF_sws_rw_fdr,zDCbin_sws_rw_fdr,zDCwei_sws_rw_fdr,zfALFF_sws_rw_fdr,zReHo_sws_rw_fdr,gmd_sws_rw_fdr,sws_rw
17Networks_17,gmd_17Networks_17zALFF_17Networks_17,0.041528184780944,0,0,0,0,0.04886359020199,0.090391774982934
17Networks_1,gmd_17Networks_1,,,,,,0.042370283770385,0.042370283770385
17Networks_15,zReHo_17Networks_15zfALFF_17Networks_15,0,0,0,0.043513898027707,0.041528184780944,0,0.085042082808651
17Networks_11,zReHo_17Networks_11,,,,,0.04886359020199,,0.04886359020199
17Networks_9,zReHo_17Networks_9zfALFF_17Networks_9zDCwei_17Networks_9zDCbin_17Networks_9,0,0.035375515465177,0.037709810484066,0.041528184780944,0.041528184780944,0,0.156141695511131
17Networks_5,zfALFF_17Networks_5,,,,0.04886359020199,,,0.04886359020199
17Networks_RH_TempPar_9,zReHo_17Networks_RH_TempPar_9,,,,,0.046118508682166,,0.046118508682166
17Networks_RH_TempPar_7,zReHo_17Networks_RH_TempPar_7,,,,,0.047862474271207,,0.047862474271207
17Networks_RH_DefaultB_PFCv_3,zReHo_17Networks_RH_DefaultB_PFCv_3,,,,,0.048911445428911,,0.048911445428911
17Networks_RH_DefaultB_PFCv_2,zReHo_17Networks_RH_DefaultB_PFCv_2zDCwei_17Networks_RH_DefaultB_PFCv_2,0,0,0.046118508682166,0,0.035375515465177,0,0.081494024147343
17Networks_RH_DefaultA_IPL_1,zReHo_17Networks_RH_DefaultA_IPL_1,,,,,0.041528184780944,,0.041528184780944
17Networks_RH_SomMotB_S2_6,zReHo_17Networks_RH_SomMotB_S2_6,,,,,0.047862474271207,,0.047862474271207
17Networks_RH_VisCent_Striate_1,zReHo_17Networks_RH_VisCent_Striate_1,,,,,0.041528184780944,,0.041528184780944
17Networks_LH_DefaultC_Rsp_2,zReHo_17Networks_LH_DefaultC_Rsp_2,,,,,0.041528184780944,,0.041528184780944
17Networks_LH_DefaultA_pCunPCC_7,zReHo_17Networks_LH_DefaultA_pCunPCC_7,,,,,0.042548694426563,,0.042548694426563
17Networks_LH_ContC_pCun_3,zReHo_17Networks_LH_ContC_pCun_3,,,,,0.046118508682166,,0.046118508682166
17Networks_LH_ContB_IPL_2,zReHo_17Networks_LH_ContB_IPL_2,,,,,0.040773649251682,,0.040773649251682
17Networks_LH_ContA_PFCl_3,zReHo_17Networks_LH_ContA_PFCl_3,,,,,0.046118508682166,,0.046118508682166
17Networks_LH_ContA_PFCl_2,zReHo_17Networks_LH_ContA_PFCl_2,,,,,0.041528184780944,,0.041528184780944
17Networks_LH_ContA_PFCl_1,zReHo_17Networks_LH_ContA_PFCl_1zDCwei_17Networks_LH_ContA_PFCl_1zDCbin_17Networks_LH_ContA_PFCl_1,0,0.041318284148356,0.044912706058241,0,0.041528184780944,0,0.127759174987541
17Networks_LH_ContA_PFClv_2,zReHo_17Networks_LH_ContA_PFClv_2,,,,,0.028404608994718,,0.028404608994718
17Networks_LH_ContA_IPS_4,zReHo_17Networks_LH_ContA_IPS_4,,,,,0.041528184780944,,0.041528184780944
17Networks_LH_LimbicA_TempPole_1,zReHo_17Networks_LH_LimbicA_TempPole_1,,,,,0.040780364262725,,0.040780364262725
17Networks_LH_SomMotB_Aud_1,zReHo_17Networks_LH_SomMotB_Aud_1zDCwei_17Networks_LH_SomMotB_Aud_1zDCbin_17Networks_LH_SomMotB_Aud_1,0,0.041528184780944,0.041528184780944,0,0.046118508682166,0,0.129174878244054
cTtha_R,gmd_cTtha_R,,,,,,0.041528184780944,0.041528184780944
NAC_R,gmd_NAC_R,,,,,,0.044912706058241,0.044912706058241
cHipp_R,gmd_cHipp_R,,,,,,0.041528184780944,0.041528184780944
cHipp_L,gmd_cHipp_L,,,,,,0.04886359020199,0.04886359020199
17Networks_RH_DefaultB_AntTemp_1,gmd_17Networks_RH_DefaultB_AntTemp_1zDCwei_17Networks_RH_DefaultB_AntTemp_1,0,0,0.047862474271207,0,0,0.041528184780944,0.089390659052151
17Networks_RH_DefaultA_PFCm_5,gmd_17Networks_RH_DefaultA_PFCm_5,,,,,,0.036684500684946,0.036684500684946
17Networks_RH_DefaultA_PFCm_3,gmd_17Networks_RH_DefaultA_PFCm_3,,,,,,0.045443014996663,0.045443014996663
17Networks_RH_DefaultA_PFCm_1,gmd_17Networks_RH_DefaultA_PFCm_1zDCwei_17Networks_RH_DefaultA_PFCm_1zDCbin_17Networks_RH_DefaultA_PFCm_1,0,0.042370283770385,0.041528184780944,0,0,0.041528184780944,0.125426653332273
17Networks_RH_ContB_PFCld_1,gmd_17Networks_RH_ContB_PFCld_1,,,,,,0.041528184780944,0.041528184780944
17Networks_RH_ContB_Temp_1,gmd_17Networks_RH_ContB_Temp_1,,,,,,0.035375515465177,0.035375515465177
17Networks_RH_SalVentAttnB_PFCl_3,gmd_17Networks_RH_SalVentAttnB_PFCl_3,,,,,,0.041528184780944,0.041528184780944
17Networks_RH_SalVentAttnB_PFCl_2,gmd_17Networks_RH_SalVentAttnB_PFCl_2,,,,,,0.035375515465177,0.035375515465177
17Networks_RH_DorsAttnB_FEF_2,gmd_17Networks_RH_DorsAttnB_FEF_2zfALFF_17Networks_RH_DorsAttnB_FEF_2,0,0,0,0.04701425548453,0,0.047862474271207,0.094876729755737
17Networks_RH_VisCent_ExStr_1,gmd_17Networks_RH_VisCent_ExStr_1,,,,,,0.042274079435959,0.042274079435959
17Networks_LH_DefaultC_PHC_1,gmd_17Networks_LH_DefaultC_PHC_1,,,,,,0.041528184780944,0.041528184780944
17Networks_LH_DefaultC_IPL_1,gmd_17Networks_LH_DefaultC_IPL_1,,,,,,0.048972390637943,0.048972390637943
17Networks_LH_DefaultB_PFCl_1,gmd_17Networks_LH_DefaultB_PFCl_1,,,,,,0.041528184780944,0.041528184780944
17Networks_LH_DefaultB_Temp_6,gmd_17Networks_LH_DefaultB_Temp_6,,,,,,0.041528184780944,0.041528184780944
17Networks_LH_DefaultB_Temp_5,gmd_17Networks_LH_DefaultB_Temp_5zfALFF_17Networks_LH_DefaultB_Temp_5zDCwei_17Networks_LH_DefaultB_Temp_5zDCbin_17Networks_LH_DefaultB_Temp_5,0,0.035375515465177,0.038405405778966,0.041528184780944,0,0.042370283770385,0.157679389795472
17Networks_LH_DefaultA_PFCm_4,gmd_17Networks_LH_DefaultA_PFCm_4,,,,,,0.041528184780944,0.041528184780944
17Networks_LH_DefaultA_PFCm_3,gmd_17Networks_LH_DefaultA_PFCm_3,,,,,,0.047862474271207,0.047862474271207
17Networks_LH_DefaultA_PFCm_2,gmd_17Networks_LH_DefaultA_PFCm_2,,,,,,0.041528184780944,0.041528184780944
17Networks_LH_DefaultA_PFCm_1,gmd_17Networks_LH_DefaultA_PFCm_1,,,,,,0.042370283770385,0.042370283770385
17Networks_LH_ContC_pCun_2,gmd_17Networks_LH_ContC_pCun_2,,,,,,0.041528184780944,0.041528184780944
17Networks_LH_LimbicB_OFC_2,gmd_17Networks_LH_LimbicB_OFC_2,,,,,,0.028404608994718,0.028404608994718
17Networks_LH_SalVentAttnB_PFCl_3,gmd_17Networks_LH_SalVentAttnB_PFCl_3,,,,,,0.041528184780944,0.041528184780944
17Networks_LH_SalVentAttnA_ParMed_2,gmd_17Networks_LH_SalVentAttnA_ParMed_2,,,,,,0.035375515465177,0.035375515465177
17Networks_LH_DorsAttnA_SPL_6,gmd_17Networks_LH_DorsAttnA_SPL_6zfALFF_17Networks_LH_DorsAttnA_SPL_6,0,0,0,0.047862474271207,0,0.035375515465177,0.083237989736384
17Networks_LH_DorsAttnA_SPL_3,gmd_17Networks_LH_DorsAttnA_SPL_3zfALFF_17Networks_LH_DorsAttnA_SPL_3,0,0,0,0.047862474271207,0,0.040780364262725,0.088642838533932
17Networks_LH_SomMotB_S2_3,gmd_17Networks_LH_SomMotB_S2_3zDCwei_17Networks_LH_SomMotB_S2_3zDCbin_17Networks_LH_SomMotB_S2_3,0,0.041528184780944,0.04886359020199,0,0,0.04886359020199,0.139255365184924
17Networks_LH_SomMotB_S2_1,gmd_17Networks_LH_SomMotB_S2_1,,,,,,0.045443014996663,0.045443014996663
17Networks_LH_SomMotA_6,gmd_17Networks_LH_SomMotA_6,,,,,,0.041528184780944,0.041528184780944
17Networks_LH_VisCent_ExStr_9,gmd_17Networks_LH_VisCent_ExStr_9,,,,,,0.035375515465177,0.035375515465177
17Networks_LH_VisCent_ExStr_3,gmd_17Networks_LH_VisCent_ExStr_3,,,,,,0.04886359020199,0.04886359020199
17Networks_LH_VisCent_ExStr_1,gmd_17Networks_LH_VisCent_ExStr_1,,,,,,0.041528184780944,0.041528184780944
Stha_R,zfALFF_Stha_R,,,,0.047601704189196,,,0.047601704189196
mAmyg_L,zfALFF_mAmyg_L,,,,0.041528184780944,,,0.041528184780944
17Networks_RH_ContA_PFCl_4,zfALFF_17Networks_RH_ContA_PFCl_4,,,,0.035375515465177,,,0.035375515465177
17Networks_RH_SalVentAttnB_PFCmp_1,zfALFF_17Networks_RH_SalVentAttnB_PFCmp_1,,,,0.035375515465177,,,0.035375515465177
17Networks_RH_SalVentAttnA_PrC_1,zfALFF_17Networks_RH_SalVentAttnA_PrC_1,,,,0.046118508682166,,,0.046118508682166
17Networks_RH_DorsAttnB_PostC_2,zfALFF_17Networks_RH_DorsAttnB_PostC_2zALFF_17Networks_RH_DorsAttnB_PostC_2,0.028404608994718,0,0,0.040780364262725,0,0,0.069184973257443
17Networks_RH_DorsAttnB_TempOcc_1,zfALFF_17Networks_RH_DorsAttnB_TempOcc_1,,,,0.041528184780944,,,0.041528184780944
17Networks_RH_DorsAttnA_SPL_5,zfALFF_17Networks_RH_DorsAttnA_SPL_5,,,,0.04886359020199,,,0.04886359020199
17Networks_RH_DorsAttnA_TempOcc_3,zfALFF_17Networks_RH_DorsAttnA_TempOcc_3,,,,0.041528184780944,,,0.041528184780944
17Networks_RH_SomMotB_Cent_2,zfALFF_17Networks_RH_SomMotB_Cent_2,,,,0.047862474271207,,,0.047862474271207
17Networks_RH_SomMotA_12,zfALFF_17Networks_RH_SomMotA_12,,,,0.041528184780944,,,0.041528184780944
17Networks_RH_SomMotA_6,zfALFF_17Networks_RH_SomMotA_6,,,,0.041528184780944,,,0.041528184780944
17Networks_RH_SomMotA_3,zfALFF_17Networks_RH_SomMotA_3,,,,0.041318284148356,,,0.041318284148356
17Networks_LH_DefaultB_PFCd_6,zfALFF_17Networks_LH_DefaultB_PFCd_6zALFF_17Networks_LH_DefaultB_PFCd_6,0.047509524583212,0,0,0.044633292262001,0,0,0.092142816845213
17Networks_LH_DefaultA_pCunPCC_6,zfALFF_17Networks_LH_DefaultA_pCunPCC_6zALFF_17Networks_LH_DefaultA_pCunPCC_6zDCwei_17Networks_LH_DefaultA_pCunPCC_6,0.04886359020199,0,0.047862474271207,0.047862474271207,0,0,0.144588538744404
17Networks_LH_DefaultA_PFCd_2,zfALFF_17Networks_LH_DefaultA_PFCd_2,,,,0.041528184780944,,,0.041528184780944
17Networks_LH_ContA_PFCd_1,zfALFF_17Networks_LH_ContA_PFCd_1zDCwei_17Networks_LH_ContA_PFCd_1zDCbin_17Networks_LH_ContA_PFCd_1,0,0.041528184780944,0.047509524583212,0.041528184780944,0,0,0.1305658941451
17Networks_LH_LimbicA_TempPole_6,zfALFF_17Networks_LH_LimbicA_TempPole_6,,,,0.035375515465177,,,0.035375515465177
17Networks_LH_DorsAttnB_PostC_5,zfALFF_17Networks_LH_DorsAttnB_PostC_5,,,,0.044912706058241,,,0.044912706058241
17Networks_LH_SomMotA_1,zfALFF_17Networks_LH_SomMotA_1,,,,0.044912706058241,,,0.044912706058241
17Networks_RH_ContA_Cingm_1,zALFF_17Networks_RH_ContA_Cingm_1,0.044912706058241,,,,,,0.044912706058241
17Networks_LH_TempPar_1,zALFF_17Networks_LH_TempPar_1,0.044912706058241,,,,,,0.044912706058241
17Networks_LH_DefaultB_Temp_4,zALFF_17Networks_LH_DefaultB_Temp_4,0.041528184780944,,,,,,0.041528184780944
17Networks_RH_TempPar_8,zDCwei_17Networks_RH_TempPar_8zDCbin_17Networks_RH_TempPar_8,0,0.047862474271207,0.046118508682166,0,0,0,0.093980982953373
17Networks_RH_ContB_PFClv_4,zDCwei_17Networks_RH_ContB_PFClv_4,,,0.048911445428911,,,,0.048911445428911
17Networks_RH_ContB_PFClv_1,zDCwei_17Networks_RH_ContB_PFClv_1zDCbin_17Networks_RH_ContB_PFClv_1,0,0.047601704189196,0.041528184780944,0,0,0,0.08912988897014
17Networks_RH_SalVentAttnA_ParMed_2,zDCwei_17Networks_RH_SalVentAttnA_ParMed_2zDCbin_17Networks_RH_SalVentAttnA_ParMed_2,0,0.046118508682166,0.046118508682166,0,0,0,0.092237017364332
17Networks_LH_TempPar_5,zDCwei_17Networks_LH_TempPar_5zDCbin_17Networks_LH_TempPar_5,0,0.035375515465177,0.035375515465177,0,0,0,0.070751030930354
17Networks_LH_TempPar_3,zDCwei_17Networks_LH_TempPar_3zDCbin_17Networks_LH_TempPar_3,0,0.035375515465177,0.035375515465177,0,0,0,0.070751030930354
17Networks_LH_TempPar_2,zDCwei_17Networks_LH_TempPar_2zDCbin_17Networks_LH_TempPar_2,0,0.035375515465177,0.038412180324325,0,0,0,0.073787695789502
17Networks_LH_DefaultC_PHC_3,zDCwei_17Networks_LH_DefaultC_PHC_3zDCbin_17Networks_LH_DefaultC_PHC_3,0,0.044912706058241,0.042723327435725,0,0,0,0.087636033493966
17Networks_LH_ContB_PFCd_1,zDCwei_17Networks_LH_ContB_PFCd_1zDCbin_17Networks_LH_ContB_PFCd_1,0,0.046118508682166,0.044912706058241,0,0,0,0.091031214740407
17Networks_LH_ContB_Temp_2,zDCwei_17Networks_LH_ContB_Temp_2zDCbin_17Networks_LH_ContB_Temp_2,0,0.047601704189196,0.041528184780944,0,0,0,0.08912988897014
17Networks_LH_ContB_Temp_1,zDCwei_17Networks_LH_ContB_Temp_1,,,0.04886359020199,,,,0.04886359020199
17Networks_LH_SalVentAttnA_FrMed_2,zDCwei_17Networks_LH_SalVentAttnA_FrMed_2zDCbin_17Networks_LH_SalVentAttnA_FrMed_2,0,0.019979904738989,0.028404608994718,0,0,0,0.048384513733707
17Networks_LH_SalVentAttnA_FrMed_1,zDCwei_17Networks_LH_SalVentAttnA_FrMed_1zDCbin_17Networks_LH_SalVentAttnA_FrMed_1,0,0.019979904738989,0.028404608994718,0,0,0,0.048384513733707
17Networks_LH_SalVentAttnA_ParMed_1,zDCwei_17Networks_LH_SalVentAttnA_ParMed_1zDCbin_17Networks_LH_SalVentAttnA_ParMed_1,0,0.028404608994718,0.035375515465177,0,0,0,0.063780124459895
17Networks_LH_SalVentAttnA_FrOper_2,zDCwei_17Networks_LH_SalVentAttnA_FrOper_2zDCbin_17Networks_LH_SalVentAttnA_FrOper_2,0,0.041528184780944,0.04886359020199,0,0,0,0.090391774982934
17Networks_LH_DorsAttnB_PostC_2,zDCwei_17Networks_LH_DorsAttnB_PostC_2zDCbin_17Networks_LH_DorsAttnB_PostC_2,0,0.028404608994718,0.035375515465177,0,0,0,0.063780124459895
17Networks_LH_DorsAttnB_PostC_1,zDCwei_17Networks_LH_DorsAttnB_PostC_1zDCbin_17Networks_LH_DorsAttnB_PostC_1,0,0.041528184780944,0.04886359020199,0,0,0,0.090391774982934
17Networks_LH_DorsAttnA_ParOcc_1,zDCwei_17Networks_LH_DorsAttnA_ParOcc_1zDCbin_17Networks_LH_DorsAttnA_ParOcc_1,0,0.035375515465177,0.038405405778966,0,0,0,0.073780921244143
17Networks_LH_DorsAttnA_TempOcc_4,zDCwei_17Networks_LH_DorsAttnA_TempOcc_4zDCbin_17Networks_LH_DorsAttnA_TempOcc_4,0,0.043186275182353,0.045109255399483,0,0,0,0.088295530581836
17Networks_LH_DorsAttnA_TempOcc_3,zDCwei_17Networks_LH_DorsAttnA_TempOcc_3zDCbin_17Networks_LH_DorsAttnA_TempOcc_3,0,0.046118508682166,0.04701425548453,0,0,0,0.093132764166696
17Networks_LH_SomMotB_S2_4,zDCwei_17Networks_LH_SomMotB_S2_4zDCbin_17Networks_LH_SomMotB_S2_4,0,0.041528184780944,0.046118508682166,0,0,0,0.08764669346311
17Networks_LH_SomMotB_Aud_3,zDCwei_17Networks_LH_SomMotB_Aud_3zDCbin_17Networks_LH_SomMotB_Aud_3,0,0.028404608994718,0.035375515465177,0,0,0,0.063780124459895
17Networks_LH_SomMotB_Aud_2,zDCwei_17Networks_LH_SomMotB_Aud_2zDCbin_17Networks_LH_SomMotB_Aud_2,0,0.041528184780944,0.042370283770385,0,0,0,0.083898468551329
17Networks_LH_SomMotA_8,zDCwei_17Networks_LH_SomMotA_8zDCbin_17Networks_LH_SomMotA_8,0,0.041528184780944,0.046118508682166,0,0,0,0.08764669346311
17Networks_LH_VisPeri_ExStrInf_3,zDCwei_17Networks_LH_VisPeri_ExStrInf_3zDCbin_17Networks_LH_VisPeri_ExStrInf_3,0,0.035375515465177,0.035375515465177,0,0,0,0.070751030930354
17Networks_RH_TempPar_4,zDCbin_17Networks_RH_TempPar_4,,0.046118508682166,,,,,0.046118508682166
17Networks_RH_DorsAttnB_PostC_5,zDCbin_17Networks_RH_DorsAttnB_PostC_5,,0.047862474271207,,,,,0.047862474271207
17Networks_RH_SomMotA_1,zDCbin_17Networks_RH_SomMotA_1,,0.047228365949721,,,,,0.047228365949721
17Networks_LH_DorsAttnB_PrCv_1,zDCbin_17Networks_LH_DorsAttnB_PrCv_1,,0.048993128671731,,,,,0.048993128671731
17Networks_LH_DorsAttnB_PostC_6,zDCbin_17Networks_LH_DorsAttnB_PostC_6,,0.041528184780944,,,,,0.041528184780944
