parc_name,gmd_sws_total_fdr,zALFF_sws_total_fdr,zfALFF_sws_total_fdr,zDCbin_sws_total_fdr,zDCwei_sws_total_fdr,zReHo_sws_total_fdr
17Networks_17,,,,,,
17Networks_16,,,,,,
17Networks_15,,,,,,0.044540428762109
17Networks_14,,,,,,
17Networks_13,,,,,,
17Networks_12,,,,,,
17Networks_11,,,,,,
17Networks_10,,,,,,
17Networks_9,,,0.04447808578329,0.048666690964411,0.044540428762109,
17Networks_8,,,,,,
17Networks_7,,,,,,
17Networks_6,,,,,,
17Networks_5,,,,,,
17Networks_4,,,,,,
17Networks_3,,,,,,
17Networks_2,,0.041309255498928,0.04961052048189,,,
17Networks_1,,0.009778574333817,,,,
lPFtha_R,0.026109301883924,,,,,
lPFtha_L,,,0.04447808578329,0.043909520788104,0.035961099656752,
cTtha_R,,,,,,
cTtha_L,,,0.04961052048189,,,
Otha_R,,,,,,
Otha_L,,,0.041309255498928,,,
PPtha_R,,,,,,
PPtha_L,,,,,,
rTtha_R,,,0.035628445120417,,,
rTtha_L,,,0.042336998359683,,,
Stha_R,,,0.032136943545218,,,
Stha_L,,,0.038103752608513,,,
mPMtha_R,,,,,,
mPMtha_L,,,0.033089177551158,0.036364928127434,0.03444788297338,
mPFtha_R,,,,,,
mPFtha_L,,,0.04961052048189,,,
dlPu_R,,,,,,
dlPu_L,0.04276510218173,,,,0.041309255498928,
dCa_R,,,,,,
dCa_L,,0.048666690964411,,,,
vmPu_R,,,,,,
vmPu_L,,,,,,
NAC_R,,,,,,
NAC_L,,,,,,
GP_R,,,,,,
GP_L,,,,,,
vCa_R,,,,,,
vCa_L,,,,,,
cHipp_R,,,,,,
cHipp_L,,,0.014855420518547,,,0.039714234785231
rHipp_R,,,0.033089177551158,,,
rHipp_L,,,0.006447047112337,,,
lAmyg_R,,,0.029898253386518,,,
lAmyg_L,,,0.03444788297338,,,
mAmyg_R,,,0.014855420518547,,,
mAmyg_L,,,0.006447047112337,,,0.033089177551158
17Networks_RH_TempPar_10,,,,,,
17Networks_RH_TempPar_9,,,,0.049053735370639,,
17Networks_RH_TempPar_8,,,,,,
17Networks_RH_TempPar_7,,,,,,
17Networks_RH_TempPar_6,,,,,,
17Networks_RH_TempPar_5,,0.029898253386518,,0.04750728904574,0.049220481923373,
17Networks_RH_TempPar_4,,0.017539806641627,,0.014855420518547,0.015935533065991,
17Networks_RH_TempPar_3,,,,,,
17Networks_RH_TempPar_2,,,,,,
17Networks_RH_TempPar_1,,,,,,
17Networks_RH_DefaultC_PHC_2,,,,,,
17Networks_RH_DefaultC_PHC_1,,,,,,
17Networks_RH_DefaultC_Rsp_2,,,,,,
17Networks_RH_DefaultC_Rsp_1,,,,,,
17Networks_RH_DefaultC_IPL_2,,,,,,
17Networks_RH_DefaultC_IPL_1,,0.027869800286828,,,,
17Networks_RH_DefaultB_PFCv_3,,,,,,
17Networks_RH_DefaultB_PFCv_2,,,,,,
17Networks_RH_DefaultB_PFCv_1,,,,,,
17Networks_RH_DefaultB_PFCd_5,,,,,,
17Networks_RH_DefaultB_PFCd_4,,,,,,
17Networks_RH_DefaultB_PFCd_3,,,0.0292415330267,,,
17Networks_RH_DefaultB_PFCd_2,0.044082670420872,0.0292415330267,,,,
17Networks_RH_DefaultB_PFCd_1,,,,,,
17Networks_RH_DefaultB_AntTemp_1,,,,,,
17Networks_RH_DefaultB_Temp_2,,0.035628445120417,,,,
17Networks_RH_DefaultB_Temp_1,,,0.04447808578329,,,
17Networks_RH_DefaultA_PFCm_6,,0.035628445120417,,,,
17Networks_RH_DefaultA_PFCm_5,,,,,,0.04447808578329
17Networks_RH_DefaultA_PFCm_4,,,0.0292415330267,,,
17Networks_RH_DefaultA_PFCm_3,,,,,,
17Networks_RH_DefaultA_PFCm_2,,,,,,
17Networks_RH_DefaultA_PFCm_1,,,,,,
17Networks_RH_DefaultA_pCunPCC_5,,,,,,
17Networks_RH_DefaultA_pCunPCC_4,,,,,,
17Networks_RH_DefaultA_pCunPCC_3,,,,,,
17Networks_RH_DefaultA_pCunPCC_2,,,,,,
17Networks_RH_DefaultA_pCunPCC_1,,,,,,
17Networks_RH_DefaultA_PFCd_2,,,0.040288662266737,,,
17Networks_RH_DefaultA_PFCd_1,,0.04447808578329,0.014855420518547,,,
17Networks_RH_DefaultA_IPL_2,,,,,,0.039524775840535
17Networks_RH_DefaultA_IPL_1,,,0.03444788297338,,,
17Networks_RH_DefaultA_Temp_1,,,,,,
17Networks_RH_ContC_Cingp_2,,,,0.043943963729318,,
17Networks_RH_ContC_Cingp_1,,,,,,
17Networks_RH_ContC_pCun_5,,,,,,
17Networks_RH_ContC_pCun_4,,,0.043086750990909,,,
17Networks_RH_ContC_pCun_3,,,,,,
17Networks_RH_ContC_pCun_2,,,0.04447808578329,,,
17Networks_RH_ContC_pCun_1,,,,,,
17Networks_RH_ContB_PFCmp_1,,,0.027869800286828,,,
17Networks_RH_ContB_PFClv_4,,,0.027869800286828,,,
17Networks_RH_ContB_PFClv_3,,0.04750728904574,,,,
17Networks_RH_ContB_PFClv_2,,,,,,
17Networks_RH_ContB_PFClv_1,,,,,,
17Networks_RH_ContB_PFCld_4,,,,,,
17Networks_RH_ContB_PFCld_3,,,0.035628445120417,,,
17Networks_RH_ContB_PFCld_2,,,,,,
17Networks_RH_ContB_PFCld_1,,,0.0292415330267,,,
17Networks_RH_ContB_IPL_4,,,,,,
17Networks_RH_ContB_IPL_3,,,0.046521825501342,,,
17Networks_RH_ContB_IPL_2,,,,,,
17Networks_RH_ContB_IPL_1,,,0.0292415330267,,,
17Networks_RH_ContB_Temp_2,,,0.0292415330267,,,
17Networks_RH_ContB_Temp_1,,,,,,
17Networks_RH_ContA_Cingm_1,,,0.041177301859391,,,
17Networks_RH_ContA_PFCl_5,,0.032872898931033,0.021049219425849,0.033089177551158,0.03444788297338,
17Networks_RH_ContA_PFCl_4,,0.0292415330267,0.011271375510173,,,
17Networks_RH_ContA_PFCl_3,,,0.016676536868844,,,
17Networks_RH_ContA_PFCl_2,,,0.026903880702785,,,
17Networks_RH_ContA_PFCl_1,,,0.009778574333817,,,
17Networks_RH_ContA_PFCd_1,,,0.03859447712233,,,
17Networks_RH_ContA_IPS_4,,,0.020950240934517,,,
17Networks_RH_ContA_IPS_3,,,0.03444788297338,,,
17Networks_RH_ContA_IPS_2,,,0.035628445120417,,,
17Networks_RH_ContA_IPS_1,,,0.038571567758869,,,
17Networks_RH_LimbicA_TempPole_6,,,,,,
17Networks_RH_LimbicA_TempPole_5,,,,,,
17Networks_RH_LimbicA_TempPole_4,,,,,,
17Networks_RH_LimbicA_TempPole_3,,,,,,
17Networks_RH_LimbicA_TempPole_2,,,,,,
17Networks_RH_LimbicA_TempPole_1,,,,,,
17Networks_RH_LimbicB_OFC_6,,,,,,
17Networks_RH_LimbicB_OFC_5,,,,,,
17Networks_RH_LimbicB_OFC_4,,,,,,
17Networks_RH_LimbicB_OFC_3,,,,,,
17Networks_RH_LimbicB_OFC_2,,,,,,
17Networks_RH_LimbicB_OFC_1,,,,,,
17Networks_RH_SalVentAttnB_PFCmp_2,,,0.026903880702785,,,
17Networks_RH_SalVentAttnB_PFCmp_1,,,0.014855420518547,,,
17Networks_RH_SalVentAttnB_Ins_2,,,,,,
17Networks_RH_SalVentAttnB_Ins_1,,,,,,
17Networks_RH_SalVentAttnB_PFCl_3,,,0.040176966219139,,,
17Networks_RH_SalVentAttnB_PFCl_2,,,0.0292415330267,,,
17Networks_RH_SalVentAttnB_PFCl_1,,,0.006447047112337,,,
17Networks_RH_SalVentAttnB_PFClv_1,,,0.026109301883924,,,
17Networks_RH_SalVentAttnB_IPL_1,,,,,,
17Networks_RH_SalVentAttnA_FrMed_4,,,,0.046099988430321,0.041309255498928,
17Networks_RH_SalVentAttnA_FrMed_3,,,0.032872898931033,,,
17Networks_RH_SalVentAttnA_ParMed_4,,,0.04750728904574,0.04750728904574,0.044540428762109,
17Networks_RH_SalVentAttnA_ParMed_3,,,0.023951422516612,,,
17Networks_RH_SalVentAttnA_FrMed_2,,,0.0292415330267,,,
17Networks_RH_SalVentAttnA_ParMed_2,,,0.040176966219139,0.035035334903833,0.0292415330267,
17Networks_RH_SalVentAttnA_ParMed_1,,,,,,
17Networks_RH_SalVentAttnA_FrMed_1,,,0.032136943545218,0.048666690964411,0.041309255498928,
17Networks_RH_SalVentAttnA_FrOper_3,,,0.04620256910693,,,
17Networks_RH_SalVentAttnA_FrOper_2,,,,,,0.039987965805697
17Networks_RH_SalVentAttnA_FrOper_1,,,,,,
17Networks_RH_SalVentAttnA_Ins_4,,,,,,
17Networks_RH_SalVentAttnA_Ins_3,,,,,,0.04447808578329
17Networks_RH_SalVentAttnA_Ins_2,,0.036616609051211,,,,
17Networks_RH_SalVentAttnA_Ins_1,,,,,,
17Networks_RH_SalVentAttnA_PrC_1,,0.046281878094052,0.03444788297338,,,
17Networks_RH_SalVentAttnA_ParOper_3,,,0.021335797044423,,,
17Networks_RH_SalVentAttnA_ParOper_2,,0.033089177551158,,,,
17Networks_RH_SalVentAttnA_ParOper_1,,,,0.014855420518547,0.014855420518547,
17Networks_RH_DorsAttnB_FEF_3,,,0.029279081953486,,,0.043235049428021
17Networks_RH_DorsAttnB_FEF_2,,,0.032872898931033,,,
17Networks_RH_DorsAttnB_FEF_1,,,0.043235049428021,0.04276510218173,,
17Networks_RH_DorsAttnB_PostC_8,,,,0.04447808578329,0.039753490952307,
17Networks_RH_DorsAttnB_PostC_7,,,,,,
17Networks_RH_DorsAttnB_PostC_6,,,,,,
17Networks_RH_DorsAttnB_PostC_5,,,0.026109301883924,,,
17Networks_RH_DorsAttnB_PostC_4,,,0.014855420518547,,,
17Networks_RH_DorsAttnB_PostC_3,,,0.0292415330267,,,
17Networks_RH_DorsAttnB_PostC_2,,0.008998852573122,0.008998852573122,,,
17Networks_RH_DorsAttnB_PostC_1,,,0.026109301883924,,,
17Networks_RH_DorsAttnB_TempOcc_1,,,,,,
17Networks_RH_DorsAttnA_SPL_8,,,,,,
17Networks_RH_DorsAttnA_SPL_7,,,,,,
17Networks_RH_DorsAttnA_SPL_6,,,0.04620256910693,,,
17Networks_RH_DorsAttnA_SPL_5,,,0.044540428762109,,,
17Networks_RH_DorsAttnA_SPL_4,,,0.04750728904574,,,
17Networks_RH_DorsAttnA_SPL_3,,,,,,
17Networks_RH_DorsAttnA_SPL_2,,,,,,
17Networks_RH_DorsAttnA_SPL_1,,,0.035628445120417,,,
17Networks_RH_DorsAttnA_ParOcc_3,,,,,,
17Networks_RH_DorsAttnA_ParOcc_2,,0.04144493740527,,,,
17Networks_RH_DorsAttnA_ParOcc_1,,0.043086750990909,,,,
17Networks_RH_DorsAttnA_TempOcc_3,,,0.049883727026569,,,0.031176501588136
17Networks_RH_DorsAttnA_TempOcc_2,,,,,,
17Networks_RH_DorsAttnA_TempOcc_1,,0.028399348147713,,0.0292415330267,0.032136943545218,
17Networks_RH_SomMotB_Cent_3,,0.04447808578329,0.014855420518547,,,
17Networks_RH_SomMotB_Cent_2,,0.035628445120417,0.014855420518547,,,
17Networks_RH_SomMotB_Cent_1,,,0.044161776882529,,,
17Networks_RH_SomMotB_S2_8,,,,,,
17Networks_RH_SomMotB_S2_7,,,,,,
17Networks_RH_SomMotB_S2_6,,0.041177301859391,0.014855420518547,0.035628445120417,0.043235049428021,
17Networks_RH_SomMotB_S2_5,,,0.039714234785231,,,
17Networks_RH_SomMotB_S2_4,,,,,,
17Networks_RH_SomMotB_S2_3,,,,0.03444788297338,0.041309255498928,
17Networks_RH_SomMotB_Aud_3,,,,,,
17Networks_RH_SomMotB_S2_2,,,,,,
17Networks_RH_SomMotB_S2_1,,,0.032136943545218,,,0.04447808578329
17Networks_RH_SomMotB_Ins_1,,0.029961124159482,,,,
17Networks_RH_SomMotB_Aud_2,,,,,,
17Networks_RH_SomMotB_Aud_1,,,,,,
17Networks_RH_SomMotA_20,,,,,,
17Networks_RH_SomMotA_19,,,,,,
17Networks_RH_SomMotA_18,,,,,,
17Networks_RH_SomMotA_17,,,,,,0.04447808578329
17Networks_RH_SomMotA_16,,,,,,
17Networks_RH_SomMotA_15,,,,,,
17Networks_RH_SomMotA_14,,0.014855420518547,0.03614147332191,,,
17Networks_RH_SomMotA_13,,,,,,
17Networks_RH_SomMotA_12,,,0.0292415330267,,,
17Networks_RH_SomMotA_11,0.032872898931033,,,,,
17Networks_RH_SomMotA_10,0.04447808578329,,,,,
17Networks_RH_SomMotA_9,,,0.039524775840535,,,0.0292415330267
17Networks_RH_SomMotA_8,,,,,,
17Networks_RH_SomMotA_7,0.046238479196235,,0.03444788297338,,0.048666690964411,
17Networks_RH_SomMotA_6,,,0.015935533065991,0.036425058638176,0.036570342780866,
17Networks_RH_SomMotA_5,,,,,,
17Networks_RH_SomMotA_4,0.044350964621572,,0.0292415330267,,,
17Networks_RH_SomMotA_3,,,0.020950240934517,,,
17Networks_RH_SomMotA_2,,,0.014855420518547,,,
17Networks_RH_SomMotA_1,,,0.006447047112337,,,
17Networks_RH_VisPeri_ExStrSup_4,,,,,,
17Networks_RH_VisPeri_ExStrSup_3,0.04447808578329,,,,,
17Networks_RH_VisPeri_ExStrSup_2,,,,,,
17Networks_RH_VisPeri_ExStrSup_1,,,,,,
17Networks_RH_VisPeri_StriCal_2,,,,,,
17Networks_RH_VisPeri_StriCal_1,,,,,,
17Networks_RH_VisPeri_ExStrInf_5,,,,,,
17Networks_RH_VisPeri_ExStrInf_4,,,,,,
17Networks_RH_VisPeri_ExStrInf_3,,0.042248086809483,,,,
17Networks_RH_VisPeri_ExStrInf_2,,,,,,
17Networks_RH_VisPeri_ExStrInf_1,,0.041309255498928,,,,
17Networks_RH_VisCent_ExStr_11,,,,,,
17Networks_RH_VisCent_ExStr_10,,,,,,
17Networks_RH_VisCent_ExStr_9,0.041309255498928,,,,,
17Networks_RH_VisCent_ExStr_8,0.03176354381959,,,,,
17Networks_RH_VisCent_ExStr_7,,,,,,
17Networks_RH_VisCent_Striate_1,,,,,,
17Networks_RH_VisCent_ExStr_6,,,,,,0.040176966219139
17Networks_RH_VisCent_ExStr_5,,,,,,
17Networks_RH_VisCent_ExStr_4,,,,,,
17Networks_RH_VisCent_ExStr_3,,,,,,
17Networks_RH_VisCent_ExStr_2,,,,,,
17Networks_RH_VisCent_ExStr_1,,0.031062253658896,,,,
17Networks_LH_TempPar_6,,,,,,
17Networks_LH_TempPar_5,,,,,,
17Networks_LH_TempPar_4,,,,,,
17Networks_LH_TempPar_3,,,,,,
17Networks_LH_TempPar_2,,,,,,
17Networks_LH_TempPar_1,,,0.04620256910693,,,
17Networks_LH_DefaultC_PHC_3,,,,0.04447808578329,0.041309255498928,
17Networks_LH_DefaultC_PHC_2,,,,,,
17Networks_LH_DefaultC_PHC_1,,0.043235049428021,,,,
17Networks_LH_DefaultC_Rsp_3,,,,,,
17Networks_LH_DefaultC_Rsp_2,,0.027869800286828,,,,
17Networks_LH_DefaultC_Rsp_1,,0.04750728904574,,,,
17Networks_LH_DefaultC_IPL_1,,,,,,
17Networks_LH_DefaultB_PFCv_5,,,,,,
17Networks_LH_DefaultB_PFCv_4,0.04447808578329,,,,,
17Networks_LH_DefaultB_PFCv_3,,,,,,
17Networks_LH_DefaultB_PFCv_2,,0.035628445120417,,,,
17Networks_LH_DefaultB_PFCv_1,,,0.04447808578329,,,
17Networks_LH_DefaultB_PFCl_2,,,,,,
17Networks_LH_DefaultB_PFCl_1,,,,,,
17Networks_LH_DefaultB_PFCd_6,,,,,,
17Networks_LH_DefaultB_PFCd_5,,,,,,
17Networks_LH_DefaultB_PFCd_4,,,,,,
17Networks_LH_DefaultB_PFCd_3,,,,,,
17Networks_LH_DefaultB_PFCd_2,,,,,,
17Networks_LH_DefaultB_PFCd_1,,,0.026109301883924,,,
17Networks_LH_DefaultB_IPL_2,,,,,,
17Networks_LH_DefaultB_IPL_1,,,0.04961052048189,,,
17Networks_LH_DefaultB_Temp_6,,,,,,
17Networks_LH_DefaultB_Temp_5,,,,,0.049053735370639,
17Networks_LH_DefaultB_Temp_4,,,,,,
17Networks_LH_DefaultB_Temp_3,,,,,,
17Networks_LH_DefaultB_Temp_2,,,,,,
17Networks_LH_DefaultB_Temp_1,,,0.036364928127434,,,
17Networks_LH_DefaultA_PFCm_6,,,0.036616609051211,,,
17Networks_LH_DefaultA_PFCm_5,,,0.044540428762109,,,
17Networks_LH_DefaultA_PFCm_4,,,,,,
17Networks_LH_DefaultA_PFCm_3,,,0.034369527745088,,,
17Networks_LH_DefaultA_PFCm_2,,,,,,
17Networks_LH_DefaultA_PFCm_1,,,,,,
17Networks_LH_DefaultA_pCunPCC_7,,0.036364928127434,0.032872898931033,,,
17Networks_LH_DefaultA_pCunPCC_6,,,,,,
17Networks_LH_DefaultA_pCunPCC_5,,,,,,
17Networks_LH_DefaultA_pCunPCC_4,,,,,,
17Networks_LH_DefaultA_pCunPCC_3,,,,,,
17Networks_LH_DefaultA_pCunPCC_2,,,,,,
17Networks_LH_DefaultA_pCunPCC_1,,,,,,
17Networks_LH_DefaultA_PFCd_3,,,,,,
17Networks_LH_DefaultA_PFCd_2,,,,,,
17Networks_LH_DefaultA_PFCd_1,,,0.033202617925107,,,
17Networks_LH_DefaultA_IPL_2,,,,,,
17Networks_LH_DefaultA_IPL_1,,,,,,
17Networks_LH_ContC_Cingp_2,,,,,,
17Networks_LH_ContC_Cingp_1,,,,0.048666690964411,,
17Networks_LH_ContC_pCun_3,,0.035628445120417,0.03859447712233,,,
17Networks_LH_ContC_pCun_2,,,,,,
17Networks_LH_ContC_pCun_1,,,,,,
17Networks_LH_ContB_PFCmp_1,,,0.040176966219139,,,
17Networks_LH_ContB_PFClv_3,,,0.014855420518547,,,
17Networks_LH_ContB_PFClv_2,,,0.014855420518547,,,
17Networks_LH_ContB_PFClv_1,,,,,,
17Networks_LH_ContB_PFCd_1,,,,,,
17Networks_LH_ContB_IPL_3,,,,,,
17Networks_LH_ContB_IPL_2,,,,,,
17Networks_LH_ContB_IPL_1,,,,,,
17Networks_LH_ContB_Temp_2,,,,,0.041309255498928,
17Networks_LH_ContB_Temp_1,,,,,,
17Networks_LH_ContA_Cingm_1,,,,,,
17Networks_LH_ContA_PFCl_3,,,0.0292415330267,,,
17Networks_LH_ContA_PFCl_2,,,,,,
17Networks_LH_ContA_PFCl_1,,,,,,
17Networks_LH_ContA_PFClv_2,,,0.041309255498928,,,
17Networks_LH_ContA_PFClv_1,,0.04777208771704,,,,
17Networks_LH_ContA_PFCd_1,,,,,,
17Networks_LH_ContA_IPS_5,,,,,,
17Networks_LH_ContA_IPS_4,,0.036616609051211,,,,
17Networks_LH_ContA_IPS_3,,,0.044213036700092,,,
17Networks_LH_ContA_IPS_2,,,,,,0.041309255498928
17Networks_LH_ContA_IPS_1,,,0.041519553367147,,,
17Networks_LH_ContA_Temp_1,,,,,,
17Networks_LH_LimbicA_TempPole_7,,,0.0292415330267,,,
17Networks_LH_LimbicA_TempPole_6,,,0.004866913971969,,,
17Networks_LH_LimbicA_TempPole_5,,,0.044540428762109,,,
17Networks_LH_LimbicA_TempPole_4,,,,,,
17Networks_LH_LimbicA_TempPole_3,,,,,,
17Networks_LH_LimbicA_TempPole_2,,,0.027869800286828,,,
17Networks_LH_LimbicA_TempPole_1,,,0.035628445120417,,,
17Networks_LH_LimbicB_OFC_5,,,,,,
17Networks_LH_LimbicB_OFC_4,,,,,,
17Networks_LH_LimbicB_OFC_3,,,,,,
17Networks_LH_LimbicB_OFC_2,,,,,,
17Networks_LH_LimbicB_OFC_1,0.043235049428021,,,,,
17Networks_LH_SalVentAttnB_PFCmp_1,,,0.041177301859391,,,
17Networks_LH_SalVentAttnB_OFC_1,,,,,,
17Networks_LH_SalVentAttnB_Ins_3,,,,,,
17Networks_LH_SalVentAttnB_Ins_2,,,,,,
17Networks_LH_SalVentAttnB_Ins_1,,,,,,
17Networks_LH_SalVentAttnB_PFCl_3,,,,,,
17Networks_LH_SalVentAttnB_PFCl_2,,,0.032136943545218,,,
17Networks_LH_SalVentAttnB_PFCl_1,,,0.041309255498928,,,
17Networks_LH_SalVentAttnA_FrMed_3,,,,,,
17Networks_LH_SalVentAttnA_FrMed_2,,,0.021335797044423,0.039753490952307,0.043938835791019,
17Networks_LH_SalVentAttnA_FrMed_1,,,,0.0292415330267,0.026109301883924,
17Networks_LH_SalVentAttnA_ParMed_3,,,,,,
17Networks_LH_SalVentAttnA_ParMed_2,,,,,,
17Networks_LH_SalVentAttnA_ParMed_1,,,,0.037427700577704,0.041309255498928,
17Networks_LH_SalVentAttnA_FrOper_2,,,,,,
17Networks_LH_SalVentAttnA_FrOper_1,,,,,,
17Networks_LH_SalVentAttnA_Ins_4,,,,,,
17Networks_LH_SalVentAttnA_Ins_3,,,,,,
17Networks_LH_SalVentAttnA_Ins_2,,0.021335797044423,,,,
17Networks_LH_SalVentAttnA_Ins_1,,,0.005066165310053,,,
17Networks_LH_SalVentAttnA_ParOper_3,,,,,,
17Networks_LH_SalVentAttnA_ParOper_2,,,,,,
17Networks_LH_SalVentAttnA_ParOper_1,,,,,0.048666690964411,
17Networks_LH_DorsAttnB_PrCv_1,,,,,,
17Networks_LH_DorsAttnB_FEF_3,,,,,,
17Networks_LH_DorsAttnB_FEF_2,,,,,,
17Networks_LH_DorsAttnB_FEF_1,,0.04447808578329,,,,
17Networks_LH_DorsAttnB_PostC_9,,,,,,
17Networks_LH_DorsAttnB_PostC_8,,,,,,
17Networks_LH_DorsAttnB_PostC_7,,,,,,
17Networks_LH_DorsAttnB_PostC_6,0.042786343995475,,,,,
17Networks_LH_DorsAttnB_PostC_5,,,0.014855420518547,,,
17Networks_LH_DorsAttnB_PostC_4,,,,0.04447808578329,,
17Networks_LH_DorsAttnB_PostC_3,,,,,,
17Networks_LH_DorsAttnB_PostC_2,,,0.031381608240155,,,
17Networks_LH_DorsAttnB_PostC_1,,,,0.0292415330267,0.035628445120417,
17Networks_LH_DorsAttnA_SPL_7,,,,,,
17Networks_LH_DorsAttnA_SPL_6,,,,,,
17Networks_LH_DorsAttnA_SPL_5,,,,,,
17Networks_LH_DorsAttnA_SPL_4,,,,,,
17Networks_LH_DorsAttnA_SPL_3,,,0.020950240934517,,,
17Networks_LH_DorsAttnA_SPL_2,,,,,,
17Networks_LH_DorsAttnA_SPL_1,,,,,,
17Networks_LH_DorsAttnA_ParOcc_2,,,,,,
17Networks_LH_DorsAttnA_ParOcc_1,,,,,,
17Networks_LH_DorsAttnA_TempOcc_4,,,,,,
17Networks_LH_DorsAttnA_TempOcc_3,,,,,,
17Networks_LH_DorsAttnA_TempOcc_2,,,,0.04961052048189,0.045537330800247,
17Networks_LH_DorsAttnA_TempOcc_1,,,,,,
17Networks_LH_SomMotB_Cent_5,,,,,,
17Networks_LH_SomMotB_Cent_4,,,,,,
17Networks_LH_SomMotB_Cent_3,,,0.014855420518547,,,
17Networks_LH_SomMotB_Cent_2,,,,,,
17Networks_LH_SomMotB_Cent_1,,,,,,
17Networks_LH_SomMotB_S2_6,,,,,,
17Networks_LH_SomMotB_S2_5,,,,,,
17Networks_LH_SomMotB_S2_4,,,,,,
17Networks_LH_SomMotB_S2_3,,,,,,
17Networks_LH_SomMotB_Aud_4,,,0.04750728904574,,,
17Networks_LH_SomMotB_Aud_3,,,0.04447808578329,0.04750728904574,,
17Networks_LH_SomMotB_S2_2,,,0.0292415330267,,,
17Networks_LH_SomMotB_S2_1,,,,,,
17Networks_LH_SomMotB_Ins_1,,,,,,
17Networks_LH_SomMotB_Aud_2,,,,,,
17Networks_LH_SomMotB_Aud_1,,,0.016676536868844,,,
17Networks_LH_SomMotA_19,,,,,,
17Networks_LH_SomMotA_18,,,,,,
17Networks_LH_SomMotA_17,,,,,,
17Networks_LH_SomMotA_16,,,,,,
17Networks_LH_SomMotA_15,,,,,,
17Networks_LH_SomMotA_14,,,,,,
17Networks_LH_SomMotA_13,,,,,,
17Networks_LH_SomMotA_12,,0.043261529597611,,,,0.043943963729318
17Networks_LH_SomMotA_11,0.026109301883924,,,,,
17Networks_LH_SomMotA_10,,,,,,
17Networks_LH_SomMotA_9,,0.027019146854604,,,,0.04447808578329
17Networks_LH_SomMotA_8,,0.034369527745088,,,,0.044540428762109
17Networks_LH_SomMotA_7,,,,,,
17Networks_LH_SomMotA_6,,,,,,
17Networks_LH_SomMotA_5,,,,,,0.011554573367279
17Networks_LH_SomMotA_4,,,,,,
17Networks_LH_SomMotA_3,,,,,,
17Networks_LH_SomMotA_2,,,,,,
17Networks_LH_SomMotA_1,,0.03859447712233,0.041200082241088,,,
17Networks_LH_VisPeri_ExStrSup_5,,,,,,
17Networks_LH_VisPeri_ExStrSup_4,,,,,,
17Networks_LH_VisPeri_ExStrSup_3,,,,,,
17Networks_LH_VisPeri_ExStrSup_2,,,,,,
17Networks_LH_VisPeri_ExStrSup_1,,,,,,
17Networks_LH_VisPeri_StriCal_2,,,,,,
17Networks_LH_VisPeri_StriCal_1,,,,,,
17Networks_LH_VisPeri_ExStrInf_5,,,,,,
17Networks_LH_VisPeri_ExStrInf_4,,,,,,
17Networks_LH_VisPeri_ExStrInf_3,,,,,,
17Networks_LH_VisPeri_ExStrInf_2,,,,,,
17Networks_LH_VisPeri_ExStrInf_1,,,,,,
17Networks_LH_VisCent_ExStr_11,,,,,,
17Networks_LH_VisCent_ExStr_10,,,,,,
17Networks_LH_VisCent_ExStr_9,,,,,,
17Networks_LH_VisCent_ExStr_8,,,,,,
17Networks_LH_VisCent_ExStr_7,,,,,,
17Networks_LH_VisCent_Striate_1,,,0.04447808578329,,,
17Networks_LH_VisCent_ExStr_6,,,,,,
17Networks_LH_VisCent_ExStr_5,,,,,,
17Networks_LH_VisCent_ExStr_4,,,,,,
17Networks_LH_VisCent_ExStr_3,,,,,,
17Networks_LH_VisCent_ExStr_2,,,,,,
17Networks_LH_VisCent_ExStr_1,,,,,,
total_significant_values,14,42,125,28,27,18
